genero,artista_nombre,artista_id,imagen_artista,cancion_nombre,cancion_id,duracion_ms,es_explicito,imagen_album
rock,Juanes,0UWZUmn7sybxMCqrw9tGa7,https://i.scdn.co/image/ab6761610000e5eb1455a186c8aaeb027ccfadb4,Besos En Guerra,1mlGScrDQqHqmhdIqE8MmA,231532,False,https://i.scdn.co/image/ab67616d0000b27390fa215e791c13fe9bacb8bc
electronica,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f,Titanium (feat. Sia),0TDLuuLlV54CkRRUOahJb4,245040,False,https://i.scdn.co/image/ab67616d0000b27363bf1cd36632031eb3081cb0
electronica,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f,Memories (feat. Kid Cudi),7fLzbEOBOae9lUnOwr7Tse,210093,False,https://i.scdn.co/image/ab67616d0000b2731813115ff10c5f5ae028321d
electronica,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,https://i.scdn.co/image/ab6761610000e5ebd3aa7cc0e419b6c459b08e8e,One More Time,0DiWol3AO6WpXZgp0goxAV,320357,False,https://i.scdn.co/image/ab67616d0000b2731e81bff9807a9e629fce5ade
electronica,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,https://i.scdn.co/image/ab6761610000e5ebd3aa7cc0e419b6c459b08e8e,Starboy,7MXVkk9YMctZqd1Srtv4MB,230453,True,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
electronica,electronic kili,6S9pxoEBK0Mczr3qE8H0GX,https://i.scdn.co/image/ab6761610000e5ebfce8230722496ff0cca0ed7e,"Eyy Banane Reimagined - From ""Vaazha 2""",7FmxpuW4lGvewqCiyPBACS,174545,False,https://i.scdn.co/image/ab67616d0000b2732e5031f258de9b604ff6ef89
electronica,electronic kili,6S9pxoEBK0Mczr3qE8H0GX,https://i.scdn.co/image/ab6761610000e5ebfce8230722496ff0cca0ed7e,"Eyy Banane - From ""Vaazha""",62tJcdKJKBBGYbav0XHWAr,270375,False,https://i.scdn.co/image/ab67616d0000b27353f723779528d73b16730290
electronica,electronic kili,6S9pxoEBK0Mczr3qE8H0GX,https://i.scdn.co/image/ab6761610000e5ebfce8230722496ff0cca0ed7e,Eyy Banane,3K8t6RzlYZSCkVjI3kczzD,270375,False,https://i.scdn.co/image/ab67616d0000b27308ec59b2157bff530072c42c
electronica,Valka,0nZi35gC9oUvfWsegp9VVr,https://i.scdn.co/image/ab6761610000e5ebfb4c784dd18155424389f3ae,ME PROVOCAS,3S7Wn5DPIfUoJaGyQUtrV1,292872,False,https://i.scdn.co/image/ab67616d0000b273d5e6cfe6a1bed00e9164d5cb
electronica,Valka,0nZi35gC9oUvfWsegp9VVr,https://i.scdn.co/image/ab6761610000e5ebfb4c784dd18155424389f3ae,Mi Novio Tiene Novia - W Sound 02,3tl2XUAf62E3wes6ksknHb,162207,True,https://i.scdn.co/image/ab67616d0000b273c4b419bf1b81c795fd162b3b
electronica,Valka,0nZi35gC9oUvfWsegp9VVr,https://i.scdn.co/image/ab6761610000e5ebfb4c784dd18155424389f3ae,ME PROVOCAS,4PieiFpCnjuVdHlq5Fr9xc,293680,False,https://i.scdn.co/image/ab67616d0000b27312391ba59ff69c80936a8a61
electronica,Hamilton,2Gke7HMz6MgNWSX71pBMyX,https://i.scdn.co/image/ab6761610000e5ebb9ff044780b1dcc9b6b0e240,Gata Oficial,7hKVe53E4qYRGoRGk7tfYC,203161,False,https://i.scdn.co/image/ab67616d0000b2734b47fa3f3c859330c9de3e2c
electronica,Hamilton,2Gke7HMz6MgNWSX71pBMyX,https://i.scdn.co/image/ab6761610000e5ebb9ff044780b1dcc9b6b0e240,Otra Cosa (Remix),6bG8Rto6vnPSxUp9oWVDT7,236632,False,https://i.scdn.co/image/ab67616d0000b2730f96446b810cf693fcfdf20f
